"from","to","Integrated Gradients","Saliency"
"FBL","TSR1",0,0
"FBL","HEATR1",0,0
"FBL","NCL",0,0
"FBL","RBM28",0,0
"FBL","RRP1",0,0
"FBL","RPP40",0,0
"FBL","PES1",0,0
"FBL","NOP2",0,0
"FBN1","FBN2",0,0
"FBN2","ITGB3",0,0
"FCAR","ITGAM",0,0
"FCER1A","SYK",0,0
"FCGR1A","SYK",0,0
"FCGRT","B2M",0,0
"FGA","SYK",0,0
"FGD4","RHOA",0,0
"FGF18","FGFR2",0,0
"FGF23","HSP90B1",0,0
"FGF23","FGFR2",0,0
"FGF23","CPSF6",0,0
"FGF23","MYO18A",0,0
"FGF23","GALNT3",0,0
"FGF23","FLRT3",0,0
"FGF23","LRRFIP1",0,0
"FGF23","FRS3",0,0
"FGFR2","PLCG2",0,0
"FGFR4","SDC1",0.02,0.04
"FGG","SYK",0,0
"FGR","PRKCD",0,0
"FHL5","XPO1",0,0
"FLII","LRRFIP1",0,0
"FLRT3","ROBO1",0,0
"FLT1","BCAR1",0,0
"FLT3","SOS1",0,0
"FMNL1","ACTB",0,0
"FMNL1","SRGAP2",0,0
"FN1","ITGA4",0,0
"FOXA1","NRIP1",0,0
"FOXM1","TOP2A",0,0
"FPR2","ADRA2B",0,0
"FRS3","NTRK1",0,0
"FSHR","ADCYAP1R1",0,0
"FTSJ3","TBL3",0,0
